n,accuracy,precision,recall,f1,roc_auc,pr_auc,brier_score,tn,fp,fn,tp,model,split,source_file,epoch,train_loss,val_loss,mc_passes,checkpoint_metric,best_validation_score
2424690,0.678958959702065,0.8417959214331318,0.6637301787062673,0.742232708307463,0.757341283544857,0.8699075764653654,0.2044525260206969,525540,210625,567800,1120725,gru,val,gru_sequence_metrics.csv,6,0.3407373564094403,0.5937248468399048,,,
2424690,0.6735743538349233,0.844494351645043,0.6511647739891325,0.7353346283243221,0.7576128681405196,0.8701793155411895,0.207536013756828,533701,202464,589017,1099508,gru,val,gru_sequence_metrics.csv,7,0.3401000096654731,0.6009392142295837,,,
2424690,0.6896320766778433,0.8355694375428883,0.6901265897750996,0.7559155639481593,0.758085408352541,0.8704043523815878,0.1994709280654912,506848,229317,523229,1165296,gru,val,gru_sequence_metrics.csv,8,0.3395664057308588,0.5818578004837036,,,
2424690,0.6790938223030573,0.8426179388890687,0.6630224604314416,0.7421089647940214,0.7584827201116562,0.8704492446282284,0.2047220186018301,527062,209103,568995,1119530,gru,val,gru_sequence_metrics.csv,9,0.3391609656844858,0.5946971774101257,,,
2424690,0.6909023421550796,0.8357799510128189,0.6921378125879095,0.7572068613635259,0.7591109662357235,0.8712736964164195,0.1992901981044735,506532,229633,519833,1168692,gru,val,gru_sequence_metrics.csv,10,0.3387522081837783,0.5816337466239929,,,
2424690,0.6779184143127575,0.8432302582763475,0.6602472572215395,0.7406036465384722,0.7588659354655212,0.8710461421296795,0.2042561790245023,528898,207267,573681,1114844,gru,val,gru_sequence_metrics.csv,11,0.3383510826629109,0.5927599668502808,,,
2424690,0.6848727053767698,0.8394586809847264,0.6769446706444974,0.749493305601473,0.7587134598458155,0.8708180580699431,0.2027871619259608,517566,218599,545487,1143038,gru,val,gru_sequence_metrics.csv,12,0.3379959223891002,0.5900775194168091,,,
2457795,0.6884081056394045,0.8338419735287352,0.6854724507780322,0.7524126566719482,0.759243089284194,0.8693801263508871,0.2005171121413156,528297,231882,533947,1163669,gru,test,gru_sequence_metrics.csv,best_10,,,50.0,roc_auc,0.7591109662357235
2424690,0.646753193191707,0.8357934994143871,0.6132227831983535,0.7074145708919661,0.7333720114762925,0.8498611842711665,0.2215840940664481,532734,203431,653083,1035442,transformer,val,transformer_sequence_metrics.csv,1,0.3576591838653256,0.6364486813545227,,,
2424690,0.6634501730118076,0.8334821428571428,0.6457280762795932,0.7276894301536532,0.7394081251007988,0.8540176750477678,0.216428694743904,518333,217832,598197,1090328,transformer,val,transformer_sequence_metrics.csv,2,0.3536752576007915,0.6257038712501526,,,
2424690,0.6746483055565866,0.8304147519597589,0.6695310996283739,0.7413447644640822,0.7422040410977814,0.8565892921663619,0.2065595108499068,505293,230872,558005,1130520,transformer,val,transformer_sequence_metrics.csv,3,0.3516834625286221,0.5994884371757507,,,
2424690,0.6663676593708886,0.8360944764909256,0.6479282213766453,0.7300821043155565,0.7436784661594906,0.8578703525566631,0.2119064202076007,521692,214473,594482,1094043,transformer,val,transformer_sequence_metrics.csv,4,0.3502064634571824,0.6125965118408203,,,
2424690,0.6680759189834576,0.8361860125388033,0.6508733954190787,0.7319831692944524,0.7451074312465263,0.8593264756847421,0.2114278166765677,520861,215304,589509,1099016,transformer,val,transformer_sequence_metrics.csv,5,0.3491582503914553,0.6116384267807007,,,
2424690,0.6670172269444754,0.837829962618614,0.6470943575013696,0.7302123535996525,0.7459239143576674,0.8602645832739741,0.210607291806766,524675,211490,595890,1092635,transformer,val,transformer_sequence_metrics.csv,6,0.3482758105416062,0.6104653477668762,,,
2424690,0.6720883906808706,0.8362575432421507,0.6579553160302631,0.7364681581103548,0.747325262423017,0.8613498566960149,0.2121710081418203,518632,217533,577551,1110974,transformer,val,transformer_sequence_metrics.csv,7,0.3476012242914453,0.615478515625,,,
2424690,0.6737966502934396,0.8359723281721277,0.661341111324973,0.7384731265565462,0.7479475427666422,0.8619284238480385,0.2072790347545774,517057,219108,571834,1116691,transformer,val,transformer_sequence_metrics.csv,8,0.3470257124885837,0.6013978123664856,,,
2424690,0.6585439788179107,0.8435468598555554,0.625730149094624,0.7184931080666171,0.7477393406198605,0.8617589507562519,0.2149855967059776,540204,195961,631964,1056561,transformer,val,transformer_sequence_metrics.csv,9,0.3465423969418987,0.6204803586006165,,,
2424690,0.6423596418511233,0.8512779060816013,0.5894073229593876,0.6965427584095184,0.7479661690556278,0.8621737994275729,0.2272849760309838,562294,173871,693296,995229,transformer,val,transformer_sequence_metrics.csv,10,0.3461323182267922,0.651458203792572,,,
2424690,0.6696513781143156,0.837449241859687,0.6522236863534742,0.7333210147207421,0.7475611699559924,0.8616590098650592,0.2129064946954099,522401,213764,587229,1101296,transformer,val,transformer_sequence_metrics.csv,11,0.3457618999996027,0.6178655624389648,,,
2424690,0.6477463098375462,0.849136008475477,0.6009375046268193,0.7037955929976812,0.7485027396864518,0.8626080780731238,0.2218293813655184,555886,180279,673827,1014698,transformer,val,transformer_sequence_metrics.csv,12,0.3454076857182475,0.6372621059417725,,,
2457795,0.6455098980997195,0.8466741845299826,0.5944159338743273,0.6984665561955864,0.7470217218077055,0.8594656755634241,0.2229830566680297,577441,182738,688526,1009090,transformer,test,transformer_sequence_metrics.csv,best_12,,,50.0,roc_auc,0.7485027396864518
