model,split,source_file,n,accuracy,accuracy_ci_low,accuracy_ci_high,precision,precision_ci_low,precision_ci_high,recall,recall_ci_low,recall_ci_high,f1,roc_auc,roc_auc_se_hanley_mcneil,roc_auc_ci_low,roc_auc_ci_high,pr_auc,brier_score
logistic_regression,test,baseline_metrics.csv,2465669,0.7107519298007965,0.7101856558422005,0.7113175470665448,0.8681801815741785,0.8676072500413702,0.8687510088090108,0.6852730238550168,0.6845751218436994,0.6859700900457754,0.7659586477391984,0.8013417369586704,0.00027600586545305076,0.8008007754028607,0.8018826985144801,0.8941568340433621,0.189129329102533
random_forest,test,baseline_metrics.csv,2465669,0.7054981832516855,0.7049289153552718,0.7060668108256722,0.8303715036679612,0.8297656859847315,0.8309756045786323,0.7208799803645015,0.7202057883746528,0.7215531759004427,0.7717616381624358,0.770620987812976,0.0002973548764346122,0.7700381829645369,0.7712037926614153,0.8789652189092584,0.1878400415897237
gru,test,gru_sequence_metrics.csv,2457795,0.6884081056394045,0.6878287945261372,0.6889868278013165,0.8338419735287352,0.8332234967175359,0.8344586124469965,0.6854724507780322,0.6847735537820949,0.686170508381351,0.7524126566719482,0.759243089284194,0.00030517103016870187,0.7586449650559384,0.7598412135124497,0.8693801263508871,0.2005171121413156
transformer,test,transformer_sequence_metrics.csv,2457795,0.6455098980997195,0.6449116331075739,0.6461077082374871,0.8466741845299826,0.846026211984241,0.8473199223064258,0.5944159338743273,0.5936771130001288,0.5951543274503603,0.6984665561955864,0.7470217218077055,0.0003127191520273816,0.746408803532456,0.7476346400829551,0.8594656755634241,0.2229830566680297
hist_gradient_boosting,test,baseline_metrics.csv,2465669,0.7186074043190712,0.7180457797863751,0.7191683476816402,0.7261172698076691,0.725531789995575,0.7267019711561199,0.95148787049966,0.9511641777911322,0.9518095264149391,0.8236643512617733,0.7108919064871791,0.0003325411997115245,0.7102401377123688,0.7115436752619895,0.8397066768155936,0.1988552109841933
previous_correct,test,baseline_metrics.csv,2465669,0.6563877795438073,0.655794753979847,0.6569803178109901,0.7510289852351765,0.7503792766544741,0.7516775623834464,0.7517142894051689,0.7510648812558798,0.7523625619980041,0.751371481058683,0.5976138002804459,0.0003785406267156149,0.596871874285398,0.5983557262754937,0.7360502027305614,0.3436122204561926
majority,test,baseline_metrics.csv,2465669,0.6907001710286336,0.6901229546534204,0.6912767931913122,0.6907001710286336,0.6901229546534204,0.6912767931913122,1.0,0.9999977443544092,1.0,0.8170581429685512,0.5,0.0003977474974760589,0.499220429230006,0.500779570769994,0.6907001710286336,0.21394024034875
