risk_group,count,observed_correctness,mean_predicted_correctness,mean_predictive_std
high_risk_confident,1549224,0.46204551439946706,0.2449934238062559,0.019281654383326362
high_risk_uncertain,130360,0.5529303467321264,0.327711585019776,0.042386164842674136
low_risk_confident,953093,0.9092292147775716,0.8251117488285089,0.02150669600457804
low_risk_uncertain,281190,0.892080088196593,0.7848718095369323,0.04456224422425762
medium_risk_confident,1430155,0.7405463044215487,0.546199544720866,0.02337161417760033
medium_risk_uncertain,571568,0.7537510847353246,0.5624600261771303,0.04467402348786846
